fecha_inicio,fecha_fin,valor_raw
2026-01-01 00:00:00,2026-01-01 00:00:00,88.711
2026-01-01 00:15:00,2026-01-01 00:15:00,88.724
2026-01-01 00:30:00,2026-01-01 00:30:00,88.724
2026-01-01 00:45:00,2026-01-01 00:45:00,88.723
2026-01-01 01:00:00,2026-01-01 01:00:00,88.727
2026-01-01 01:15:00,2026-01-01 01:15:00,88.725
2026-01-01 01:30:00,2026-01-01 01:30:00,88.718
2026-01-01 01:45:00,2026-01-01 01:45:00,88.727
2026-01-01 02:00:00,2026-01-01 02:00:00,88.723
2026-01-01 02:15:00,2026-01-01 02:15:00,88.724
2026-01-01 02:30:00,2026-01-01 02:30:00,88.718
2026-01-01 02:45:00,2026-01-01 02:45:00,88.731
2026-01-01 03:00:00,2026-01-01 03:00:00,88.731
2026-01-01 03:15:00,2026-01-01 03:15:00,88.725
2026-01-01 03:30:00,2026-01-01 03:30:00,88.725
2026-01-01 03:45:00,2026-01-01 03:45:00,88.726
2026-01-01 04:00:00,2026-01-01 04:00:00,88.727
2026-01-01 04:15:00,2026-01-01 04:15:00,88.721
2026-01-01 04:30:00,2026-01-01 04:30:00,88.726
2026-01-01 04:45:00,2026-01-01 04:45:00,88.736
2026-01-01 05:00:00,2026-01-01 05:00:00,88.735
2026-01-01 05:15:00,2026-01-01 05:15:00,88.734
2026-01-01 05:30:00,2026-01-01 05:30:00,88.736
2026-01-01 05:45:00,2026-01-01 05:45:00,88.743
2026-01-01 06:00:00,2026-01-01 06:00:00,88.741
2026-01-01 06:15:00,2026-01-01 06:15:00,88.762
2026-01-01 06:30:00,2026-01-01 06:30:00,88.772
2026-01-01 06:45:00,2026-01-01 06:45:00,88.783
2026-01-01 07:00:00,2026-01-01 07:00:00,88.777
2026-01-01 07:15:00,2026-01-01 07:15:00,88.789
2026-01-01 07:30:00,2026-01-01 07:30:00,88.777
2026-01-01 07:45:00,2026-01-01 07:45:00,88.758
2026-01-01 08:00:00,2026-01-01 08:00:00,88.765
2026-01-01 08:15:00,2026-01-01 08:15:00,88.772
2026-01-01 08:30:00,2026-01-01 08:30:00,88.768
2026-01-01 08:45:00,2026-01-01 08:45:00,88.773
2026-01-01 09:00:00,2026-01-01 09:00:00,88.771
2026-01-01 09:15:00,2026-01-01 09:15:00,88.765
2026-01-01 09:30:00,2026-01-01 09:30:00,88.769
2026-01-01 09:45:00,2026-01-01 09:45:00,88.759
2026-01-01 10:00:00,2026-01-01 10:00:00,88.757
2026-01-01 10:15:00,2026-01-01 10:15:00,88.775
2026-01-01 10:30:00,2026-01-01 10:30:00,88.788
2026-01-01 10:45:00,2026-01-01 10:45:00,88.776
2026-01-01 11:00:00,2026-01-01 11:00:00,88.785
2026-01-01 11:15:00,2026-01-01 11:15:00,88.755
2026-01-01 11:30:00,2026-01-01 11:30:00,88.752
2026-01-01 11:45:00,2026-01-01 11:45:00,88.764
2026-01-01 12:00:00,2026-01-01 12:00:00,88.772
2026-01-01 12:15:00,2026-01-01 12:15:00,88.767
2026-01-01 12:30:00,2026-01-01 12:30:00,88.772
2026-01-01 12:45:00,2026-01-01 12:45:00,88.78
2026-01-01 13:00:00,2026-01-01 13:00:00,88.784
2026-01-01 13:15:00,2026-01-01 13:15:00,88.78
2026-01-01 13:30:00,2026-01-01 13:30:00,88.779
2026-01-01 13:45:00,2026-01-01 13:45:00,88.775
2026-01-01 14:00:00,2026-01-01 14:00:00,88.773
2026-01-01 14:15:00,2026-01-01 14:15:00,88.775
2026-01-01 14:30:00,2026-01-01 14:30:00,88.782
2026-01-01 14:45:00,2026-01-01 14:45:00,88.788
2026-01-01 15:00:00,2026-01-01 15:00:00,88.794
2026-01-01 15:15:00,2026-01-01 15:15:00,88.787
2026-01-01 15:30:00,2026-01-01 15:30:00,88.791
2026-01-01 15:45:00,2026-01-01 15:45:00,88.791
2026-01-01 16:00:00,2026-01-01 16:00:00,88.78
2026-01-01 16:15:00,2026-01-01 16:15:00,88.795
2026-01-01 16:30:00,2026-01-01 16:30:00,88.792
2026-01-01 16:45:00,2026-01-01 16:45:00,88.782
2026-01-01 17:00:00,2026-01-01 17:00:00,88.775
2026-01-01 17:15:00,2026-01-01 17:15:00,88.789
2026-01-01 17:30:00,2026-01-01 17:30:00,88.791
2026-01-01 17:45:00,2026-01-01 17:45:00,88.777
2026-01-01 18:00:00,2026-01-01 18:00:00,88.776
2026-01-01 18:15:00,2026-01-01 18:15:00,88.783
2026-01-01 18:30:00,2026-01-01 18:30:00,88.775
2026-01-01 18:45:00,2026-01-01 18:45:00,88.782
2026-01-01 19:00:00,2026-01-01 19:00:00,88.785
2026-01-01 19:15:00,2026-01-01 19:15:00,88.778
2026-01-01 19:30:00,2026-01-01 19:30:00,88.777
2026-01-01 19:45:00,2026-01-01 19:45:00,88.786
2026-01-01 20:00:00,2026-01-01 20:00:00,88.784
2026-01-01 20:15:00,2026-01-01 20:15:00,88.783
2026-01-01 20:30:00,2026-01-01 20:30:00,88.786
2026-01-01 20:45:00,2026-01-01 20:45:00,88.789
2026-01-01 21:00:00,2026-01-01 21:00:00,88.79
2026-01-01 21:15:00,2026-01-01 21:15:00,88.79
2026-01-01 21:30:00,2026-01-01 21:30:00,88.796
2026-01-01 21:45:00,2026-01-01 21:45:00,88.829
