fecha_inicio,fecha_fin,valor_raw
2026-06-04 00:00:00,2026-06-04 00:00:00,234.97
2026-06-04 00:15:00,2026-06-04 00:15:00,234.95
2026-06-04 00:30:00,2026-06-04 00:30:00,234.95
2026-06-04 00:45:00,2026-06-04 00:45:00,234.95
2026-06-04 01:00:00,2026-06-04 01:00:00,234.95
2026-06-04 01:15:00,2026-06-04 01:15:00,234.94
2026-06-04 01:30:00,2026-06-04 01:30:00,234.93
2026-06-04 01:45:00,2026-06-04 01:45:00,234.93
2026-06-04 02:00:00,2026-06-04 02:00:00,234.93
2026-06-04 02:15:00,2026-06-04 02:15:00,234.92
2026-06-04 02:30:00,2026-06-04 02:30:00,234.93
2026-06-04 02:45:00,2026-06-04 02:45:00,234.91
2026-06-04 03:00:00,2026-06-04 03:00:00,234.92
2026-06-04 03:15:00,2026-06-04 03:15:00,234.91
2026-06-04 03:30:00,2026-06-04 03:30:00,234.91
2026-06-04 03:45:00,2026-06-04 03:45:00,234.91
2026-06-04 04:00:00,2026-06-04 04:00:00,234.9
2026-06-04 04:15:00,2026-06-04 04:15:00,234.9
2026-06-04 04:30:00,2026-06-04 04:30:00,234.89
2026-06-04 04:45:00,2026-06-04 04:45:00,234.89
2026-06-04 05:00:00,2026-06-04 05:00:00,234.89
2026-06-04 05:15:00,2026-06-04 05:15:00,234.88
2026-06-04 05:30:00,2026-06-04 05:30:00,234.88
2026-06-04 05:45:00,2026-06-04 05:45:00,234.88
2026-06-04 06:00:00,2026-06-04 06:00:00,234.87
2026-06-04 06:15:00,2026-06-04 06:15:00,234.87
2026-06-04 06:30:00,2026-06-04 06:30:00,234.85
2026-06-04 06:45:00,2026-06-04 06:45:00,234.87
2026-06-04 07:00:00,2026-06-04 07:00:00,234.84
2026-06-04 07:15:00,2026-06-04 07:15:00,234.85
2026-06-04 07:30:00,2026-06-04 07:30:00,234.84
2026-06-04 07:45:00,2026-06-04 07:45:00,234.84
2026-06-04 08:00:00,2026-06-04 08:00:00,234.83
2026-06-04 08:15:00,2026-06-04 08:15:00,234.83
2026-06-04 08:30:00,2026-06-04 08:30:00,234.82
2026-06-04 08:45:00,2026-06-04 08:45:00,234.82
2026-06-04 09:00:00,2026-06-04 09:00:00,234.8
2026-06-04 09:15:00,2026-06-04 09:15:00,234.82
2026-06-04 09:30:00,2026-06-04 09:30:00,234.8
2026-06-04 09:45:00,2026-06-04 09:45:00,234.79
2026-06-04 10:00:00,2026-06-04 10:00:00,234.8
2026-06-04 10:15:00,2026-06-04 10:15:00,234.76
2026-06-04 10:30:00,2026-06-04 10:30:00,234.77
2026-06-04 10:45:00,2026-06-04 10:45:00,234.75
2026-06-04 11:00:00,2026-06-04 11:00:00,234.73
2026-06-04 11:15:00,2026-06-04 11:15:00,234.74
2026-06-04 11:30:00,2026-06-04 11:30:00,234.73
2026-06-04 11:45:00,2026-06-04 11:45:00,234.73
2026-06-04 12:00:00,2026-06-04 12:00:00,234.71
2026-06-04 12:15:00,2026-06-04 12:15:00,234.7
2026-06-04 12:30:00,2026-06-04 12:30:00,234.72
2026-06-04 12:45:00,2026-06-04 12:45:00,234.7
2026-06-04 13:00:00,2026-06-04 13:00:00,234.69
2026-06-04 13:15:00,2026-06-04 13:15:00,234.7
2026-06-04 13:30:00,2026-06-04 13:30:00,234.65
2026-06-04 13:45:00,2026-06-04 13:45:00,234.68
2026-06-04 14:00:00,2026-06-04 14:00:00,234.66
2026-06-04 14:15:00,2026-06-04 14:15:00,234.68
2026-06-04 14:30:00,2026-06-04 14:30:00,234.68
2026-06-04 14:45:00,2026-06-04 14:45:00,234.66
2026-06-04 15:00:00,2026-06-04 15:00:00,234.69
2026-06-04 15:15:00,2026-06-04 15:15:00,234.66
2026-06-04 15:30:00,2026-06-04 15:30:00,234.67
2026-06-04 15:45:00,2026-06-04 15:45:00,234.68
2026-06-04 16:00:00,2026-06-04 16:00:00,234.63
2026-06-04 16:15:00,2026-06-04 16:15:00,234.64
2026-06-04 16:30:00,2026-06-04 16:30:00,234.64
2026-06-04 16:45:00,2026-06-04 16:45:00,234.63
2026-06-04 17:00:00,2026-06-04 17:00:00,234.68
2026-06-04 17:15:00,2026-06-04 17:15:00,234.65
2026-06-04 17:30:00,2026-06-04 17:30:00,234.66
2026-06-04 17:45:00,2026-06-04 17:45:00,234.66
2026-06-04 18:00:00,2026-06-04 18:00:00,234.65
2026-06-04 18:15:00,2026-06-04 18:15:00,234.65
2026-06-04 18:30:00,2026-06-04 18:30:00,234.63
2026-06-04 18:45:00,2026-06-04 18:45:00,234.64
2026-06-04 19:00:00,2026-06-04 19:00:00,234.63
2026-06-04 19:15:00,2026-06-04 19:15:00,234.62
2026-06-04 19:30:00,2026-06-04 19:30:00,234.63
2026-06-04 19:45:00,2026-06-04 19:45:00,234.62
2026-06-04 20:00:00,2026-06-04 20:00:00,234.62
2026-06-04 20:15:00,2026-06-04 20:15:00,234.61
2026-06-04 20:30:00,2026-06-04 20:30:00,234.6
2026-06-04 20:45:00,2026-06-04 20:45:00,234.6
2026-06-04 21:00:00,2026-06-04 21:00:00,234.59
2026-06-04 21:15:00,2026-06-04 21:15:00,234.59
2026-06-04 21:30:00,2026-06-04 21:30:00,234.59
2026-06-04 21:45:00,2026-06-04 21:45:00,234.58
2026-06-04 22:00:00,2026-06-04 22:00:00,234.57
2026-06-04 22:15:00,2026-06-04 22:15:00,234.57
2026-06-04 22:30:00,2026-06-04 22:30:00,234.56
2026-06-04 22:45:00,2026-06-04 22:45:00,234.56
2026-06-04 23:00:00,2026-06-04 23:00:00,234.55
2026-06-04 23:15:00,2026-06-04 23:15:00,234.55
2026-06-04 23:30:00,2026-06-04 23:30:00,234.55
2026-06-04 23:45:00,2026-06-04 23:45:00,234.54
2026-06-05 00:00:00,2026-06-05 00:00:00,234.53
2026-06-05 00:15:00,2026-06-05 00:15:00,234.53
2026-06-05 00:30:00,2026-06-05 00:30:00,234.52
2026-06-05 00:45:00,2026-06-05 00:45:00,234.52
2026-06-05 01:00:00,2026-06-05 01:00:00,234.51
2026-06-05 01:15:00,2026-06-05 01:15:00,234.51
2026-06-05 01:30:00,2026-06-05 01:30:00,234.51
2026-06-05 01:45:00,2026-06-05 01:45:00,234.5
2026-06-05 02:00:00,2026-06-05 02:00:00,234.49
2026-06-05 02:15:00,2026-06-05 02:15:00,234.49
2026-06-05 02:30:00,2026-06-05 02:30:00,234.47
2026-06-05 02:45:00,2026-06-05 02:45:00,234.48
2026-06-05 03:00:00,2026-06-05 03:00:00,234.47
2026-06-05 03:15:00,2026-06-05 03:15:00,234.47
2026-06-05 03:30:00,2026-06-05 03:30:00,234.47
2026-06-05 03:45:00,2026-06-05 03:45:00,234.46
2026-06-05 04:00:00,2026-06-05 04:00:00,234.44
2026-06-05 04:15:00,2026-06-05 04:15:00,234.45
2026-06-05 04:30:00,2026-06-05 04:30:00,234.43
2026-06-05 04:45:00,2026-06-05 04:45:00,234.44
2026-06-05 05:00:00,2026-06-05 05:00:00,234.43
2026-06-05 05:15:00,2026-06-05 05:15:00,234.42
2026-06-05 05:30:00,2026-06-05 05:30:00,234.42
2026-06-05 05:45:00,2026-06-05 05:45:00,234.41
2026-06-05 06:00:00,2026-06-05 06:00:00,234.4
2026-06-05 06:15:00,2026-06-05 06:15:00,234.41
2026-06-05 06:30:00,2026-06-05 06:30:00,234.4
2026-06-05 06:45:00,2026-06-05 06:45:00,234.41
2026-06-05 07:00:00,2026-06-05 07:00:00,234.38
2026-06-05 07:15:00,2026-06-05 07:15:00,234.37
2026-06-05 07:30:00,2026-06-05 07:30:00,234.38
2026-06-05 07:45:00,2026-06-05 07:45:00,234.36
2026-06-05 08:00:00,2026-06-05 08:00:00,234.37
2026-06-05 08:15:00,2026-06-05 08:15:00,234.35
2026-06-05 08:30:00,2026-06-05 08:30:00,234.36
2026-06-05 08:45:00,2026-06-05 08:45:00,234.35
2026-06-05 09:00:00,2026-06-05 09:00:00,234.34
2026-06-05 09:15:00,2026-06-05 09:15:00,234.32
2026-06-05 09:30:00,2026-06-05 09:30:00,234.32
2026-06-05 09:45:00,2026-06-05 09:45:00,234.3
2026-06-05 10:00:00,2026-06-05 10:00:00,234.3
2026-06-05 10:15:00,2026-06-05 10:15:00,234.28
2026-06-05 10:30:00,2026-06-05 10:30:00,234.29
2026-06-05 10:45:00,2026-06-05 10:45:00,234.26
2026-06-05 11:00:00,2026-06-05 11:00:00,234.28
2026-06-05 11:15:00,2026-06-05 11:15:00,234.29
2026-06-05 11:30:00,2026-06-05 11:30:00,234.25
2026-06-05 11:45:00,2026-06-05 11:45:00,234.24
2026-06-05 12:00:00,2026-06-05 12:00:00,234.24
2026-06-05 12:15:00,2026-06-05 12:15:00,234.21
2026-06-05 12:30:00,2026-06-05 12:30:00,234.23
2026-06-05 12:45:00,2026-06-05 12:45:00,234.2
2026-06-05 13:00:00,2026-06-05 13:00:00,234.21
2026-06-05 13:15:00,2026-06-05 13:15:00,234.2
